ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 28.774; 0.000; 1.392; 2.509; 2.505; 0.317;
8; 54; 28.824; 0.000; 1.405; 2.510; 2.505; 0.308;
8; 54; 28.981; 0.000; 1.403; 2.510; 2.505; 0.309;
8; 54; 29.031; 0.000; 1.394; 2.510; 2.505; 0.314;
8; 54; 29.081; 0.000; 1.384; 2.510; 2.505; 0.319;
8; 54; 29.131; 0.000; 1.388; 2.509; 2.506; 0.318;
8; 54; 29.181; 0.000; 1.400; 2.510; 2.506; 0.308;
8; 54; 29.231; 0.000; 1.403; 2.511; 2.505; 0.310;
8; 54; 29.281; 0.000; 1.395; 2.510; 2.506; 0.314;
8; 54; 29.331; 0.000; 1.385; 2.510; 2.506; 0.319;
8; 54; 29.381; 0.000; 1.387; 2.510; 2.506; 0.318;
8; 54; 29.431; 0.000; 1.397; 2.509; 2.506; 0.309;
8; 54; 29.481; 0.000; 1.404; 2.509; 2.506; 0.311;
8; 54; 29.531; 0.000; 1.396; 2.510; 2.505; 0.312;
8; 54; 29.581; 0.000; 1.385; 2.509; 2.506; 0.316;
8; 54; 29.631; 0.000; 1.387; 2.510; 2.505; 0.319;
8; 54; 29.681; 0.000; 1.393; 2.510; 2.505; 0.315;
8; 54; 29.731; 0.000; 1.404; 2.510; 2.505; 0.310;
8; 54; 29.781; 0.000; 1.399; 2.510; 2.505; 0.310;
8; 54; 29.831; 0.000; 1.385; 2.510; 2.506; 0.315;
8; 54; 29.881; 0.000; 1.385; 2.510; 2.506; 0.319;
8; 54; 29.931; 0.000; 1.393; 2.510; 2.505; 0.317;
8; 54; 29.981; 0.000; 1.405; 2.510; 2.506; 0.309;
8; 54; 30.031; 0.000; 1.398; 2.511; 2.505; 0.310;
8; 54; 30.081; 0.000; 1.385; 2.510; 2.505; 0.314;
8; 54; 30.131; 0.000; 1.386; 2.509; 2.506; 0.321;
8; 54; 30.181; 0.000; 1.389; 2.510; 2.504; 0.319;
8; 54; 30.231; 0.000; 1.401; 2.509; 2.506; 0.308;
8; 54; 30.281; 0.000; 1.402; 2.510; 2.505; 0.309;
8; 54; 30.331; 0.000; 1.394; 2.509; 2.506; 0.314;
8; 54; 30.381; 0.000; 1.384; 2.510; 2.506; 0.315;
8; 54; 30.431; 0.000; 1.386; 2.510; 2.506; 0.319;
8; 54; 30.599; 0.020; 1.405; 2.510; 2.506; 0.309;
8; 54; 30.649; 0.020; 1.399; 2.511; 2.505; 0.309;
8; 54; 30.699; 0.020; 1.389; 2.510; 2.506; 0.314;
8; 54; 30.749; 0.020; 1.385; 2.510; 2.506; 0.322;
8; 54; 30.799; 0.020; 1.386; 2.510; 2.505; 0.315;
8; 54; 30.849; 0.020; 1.390; 2.510; 2.505; 0.322;
8; 54; 30.899; 0.020; 1.397; 2.509; 2.505; 0.312;
8; 54; 30.949; 0.020; 1.406; 2.509; 2.505; 0.304;
8; 54; 30.999; 0.020; 1.404; 2.510; 2.505; 0.312;
8; 54; 31.049; 0.020; 1.399; 2.510; 2.505; 0.309;
